orden_categoria,categoria,categoria_en,categoria_nota,categoria_nota_en,subcategoria,subcategoria_en,orden,nombre,nombre_en,precio,descripcion,descripcion_en,alergenos,publicar
40,Sandwiches,Sandwiches,Bagel · Brioche — el precio depende del relleno.,Bagel · Brioche — price depends on the filling.,,,20,Roast Beef,Roast Beef,"13,90 €","Roast beef, huevo frito, queso cheddar, cebolla roja encurtida, rúcula y salsa de rábano picante.","Roast beef, fried egg, cheddar cheese, pickled red onion, arugula and horseradish sauce.","1,6,8,9",si
40,Sandwiches,Sandwiches,Bagel · Brioche — el precio depende del relleno.,Bagel · Brioche — price depends on the filling.,,,30,Pulled Pork,Pulled Pork,"11,80 €","Cerdo desmechado con salsa barbacoa, huevo frito, queso cheddar y cebolla caramelizada.","Shredded pork with barbecue sauce, fried egg, cheddar cheese and caramelized onion.","1,8,9",si
40,Sandwiches,Sandwiches,Bagel · Brioche — el precio depende del relleno.,Bagel · Brioche — price depends on the filling.,,,40,Pollo Teriyaki,Teriyaki Chicken,"10,50 €","Pollo desmechado con salsa teriyaki, queso cheddar, cebolla caramelizada, rúcula y huevo frito.","Shredded chicken with teriyaki sauce, cheddar cheese, caramelized onion, arugula and fried egg.","1,2,8,9",si
40,Sandwiches,Sandwiches,Bagel · Brioche — el precio depende del relleno.,Bagel · Brioche — price depends on the filling.,,,50,Salmón & Aguacate,Salmon & Avocado,"10,50 €","Salmón curado, aguacate laminado y salsa tártara casera.","Cured salmon, sliced avocado and homemade tartar sauce.","1,4,6,8,9",si
40,Sandwiches,Sandwiches,Bagel · Brioche — el precio depende del relleno.,Bagel · Brioche — price depends on the filling.,,,60,Huevos & Bacon,Eggs & Bacon,"9,50 €","Huevos revueltos, bacon crujiente, queso Edam y tomate rallado.","Scrambled eggs, crispy bacon, Edam cheese and grated tomato.","1,8,9",si
40,Sandwiches,Sandwiches,Bagel · Brioche — el precio depende del relleno.,Bagel · Brioche — price depends on the filling.,,,70,Veggie Aura,Veggie Aura,"8,90 €","Huevo frito, queso Edam, tomates cherry salteados, rúcula, cebolla encurtida y salsa tártara casera.","Fried egg, Edam cheese, sautéed cherry tomatoes, arugula, pickled onion and homemade tartar sauce.","1,6,8,9",si
50,Tostas,Toasts,"Obrador local — fermentación natural. Pan sin gluten +1,00 €.",Local bakery — natural fermentation. Gluten-free bread +1.00 €.,,,10,Salmón Ahumado & Aguacate,Smoked Salmon & Avocado,"9,90 €","Salmón curado de la casa, manzana verde, aguacate y salsa tártara casera.","House-cured salmon, green apple, avocado and homemade tartar sauce.","1,4,6,8,9",si
50,Tostas,Toasts,"Obrador local — fermentación natural. Pan sin gluten +1,00 €.",Local bakery — natural fermentation. Gluten-free bread +1.00 €.,,,20,Burrata,Burrata,"10,90 €","Burrata italiana, pesto casero, rúcula y tomates cherry salteados con ajo, mantequilla y vinagre balsámico.","Italian burrata, homemade pesto, arugula and cherry tomatoes sautéed with garlic, butter and balsamic vinegar.","8,9,10",si
50,Tostas,Toasts,"Obrador local — fermentación natural. Pan sin gluten +1,00 €.",Local bakery — natural fermentation. Gluten-free bread +1.00 €.,,,30,Huevos Revueltos,Scrambled Eggs,"7,90 €","Huevos revueltos, aguacate, pipas de calabaza y de girasol.","Scrambled eggs, avocado, pumpkin and sunflower seeds.","1,9",si
50,Tostas,Toasts,"Obrador local — fermentación natural. Pan sin gluten +1,00 €.",Local bakery — natural fermentation. Gluten-free bread +1.00 €.,,,40,Valen · Vegana,Valen · Vegan,"6,90 €","Hummus de garbanzo, aguacate y tomates cherry salteados con tomillo y semillas.","Chickpea hummus, avocado and cherry tomatoes sautéed with thyme and seeds.","2,9",si
50,Tostas,Toasts,"Obrador local — fermentación natural. Pan sin gluten +1,00 €.",Local bakery — natural fermentation. Gluten-free bread +1.00 €.,,,50,Espinacas,Spinach,"6,90 €","Base de espinacas salteadas, huevos fritos, queso feta y aceite de guindilla.","Sautéed spinach base, fried eggs, feta cheese and chili oil.","1,8,2",si
50,Tostas,Toasts,"Obrador local — fermentación natural. Pan sin gluten +1,00 €.",Local bakery — natural fermentation. Gluten-free bread +1.00 €.,,,60,Jamón Serrano,Serrano Ham,"6,50 €","Jamón serrano, tomate rallado y AOVE.","Serrano ham, grated tomato and extra virgin olive oil.",9,si
50,Tostas,Toasts,"Obrador local — fermentación natural. Pan sin gluten +1,00 €.",Local bakery — natural fermentation. Gluten-free bread +1.00 €.,,,70,Energética,Energetic,"5,90 €","Mantequilla de cacahuete, plátano y sirope de agave.","Peanut butter, banana and agave syrup.","9,12",si
50,Tostas,Toasts,"Obrador local — fermentación natural. Pan sin gluten +1,00 €.",Local bakery — natural fermentation. Gluten-free bread +1.00 €.,,,80,Tomate & AOVE,Tomato & EVOO,"2,80 €",Tomate rallado y AOVE.,Grated tomato and extra virgin olive oil.,9,si
50,Tostas,Toasts,"Obrador local — fermentación natural. Pan sin gluten +1,00 €.",Local bakery — natural fermentation. Gluten-free bread +1.00 €.,Tostas francesas (pan brioche),French toast (brioche bread),10,Proteica,Protein,"12,90 €","Huevos revueltos, bacon y sirope sobre brioche caramelizado con canela.","Scrambled eggs, bacon and syrup on cinnamon caramelized brioche.","1,8,9",si
60,Bowls & pancakes,Bowls & pancakes,,,Pancakes (sin gluten),Pancakes (gluten-free),10,Fruta y Sirope,Fruit & Syrup,"8,90 €",Fruta de temporada y sirope de arce.,Seasonal fruit and maple syrup.,"1,8,9",si
60,Bowls & pancakes,Bowls & pancakes,,,Pancakes (sin gluten),Pancakes (gluten-free),20,Plátano y Mantequilla de Cacahuete,Banana & Peanut Butter,"7,90 €","Plátano, mantequilla de cacahuete y sirope de arce.","Banana, peanut butter and maple syrup.","1,8,9,10",si
60,Bowls & pancakes,Bowls & pancakes,,,Pancakes (sin gluten),Pancakes (gluten-free),30,Huevos Revueltos & Bacon,Scrambled Eggs & Bacon,"9,90 €","Huevos revueltos, bacon y sirope de arce.","Scrambled eggs, bacon and maple syrup.","1,8,9",si
60,Bowls & pancakes,Bowls & pancakes,,,Bowls,Bowls,10,Açaí,Açaí,"7,90 € / 11,90 €","Açaí orgánico, plátano, frutos rojos, granola casera, chips de chocolate, paçoca y mantequilla de cacahuete. Sin gluten.","Organic açaí, banana, berries, homemade granola, chocolate chips, paçoca and peanut butter. Gluten-free.","10,12",si
60,Bowls & pancakes,Bowls & pancakes,,,Bowls,Bowls,20,Chia Pudding,Chia Pudding,"7,90 €","Semillas de chía con frutos rojos, yogur de coco vegano, coco rallado y mermelada casera de fresa.","Chia seeds with berries, vegan coconut yogurt, coconut flakes and homemade strawberry jam.",,si
60,Bowls & pancakes,Bowls & pancakes,,,Bowls,Bowls,30,Porridge,Porridge,"7,90 €","Avena integral sin gluten, leche de avena, plátano, chips de chocolate y sirope de agave.","Gluten-free whole oats, oat milk, banana, chocolate chips and agave syrup.",,si
60,Bowls & pancakes,Bowls & pancakes,,,Bowls,Bowls,40,Yogur Griego,Greek Yogurt,"4,50 € / 7,90 €","Yogur griego, fruta de temporada, granola casera y sirope de agave. Yogur vegano +1,00 €.","Greek yogurt, seasonal fruit, homemade granola and agave syrup. Vegan yogurt +1.00 €.","8,10,12",si
70,Empanadas,Empanadas,,,Veggies & vegan,Veggies & vegan,10,Tofu y Verduras,Tofu & Vegetables,"3,90 € cada una","Tofu fresco, leche de coco, calabacín, puerro y zanahoria.","Fresh tofu, coconut milk, zucchini, leek and carrot.","3,9,2",si
70,Empanadas,Empanadas,,,Veggies & vegan,Veggies & vegan,20,Cabra y Nuez,Goat Cheese & Walnut,"3,90 € cada una","Queso mozzarella, queso de cabra y nuez.","Mozzarella cheese, goat cheese and walnut.","8,10,9,2",si
70,Empanadas,Empanadas,,,Veggies & vegan,Veggies & vegan,30,Espinacas y Queso,Spinach & Cheese,"3,90 € cada una","Espinacas frescas, mozzarella y bechamel.","Fresh spinach, mozzarella and béchamel.","8,9,2",si
70,Empanadas,Empanadas,,,Veggies & vegan,Veggies & vegan,40,Caprese,Caprese,"3,90 € cada una","Mozzarella, tomate fresco y albahaca.","Mozzarella, fresh tomato and basil.","8,9,2",si
70,Empanadas,Empanadas,,,Veggies & vegan,Veggies & vegan,50,Humita,Humita,"3,90 € cada una","Maíz dulce, pimiento rojo y bechamel.","Sweet corn, red pepper and béchamel.","8,9,2",si
70,Empanadas,Empanadas,,,Veggies & vegan,Veggies & vegan,60,Cebolla y Queso,Onion & Cheese,"3,90 € cada una","Mozzarella, cebolla y orégano.","Mozzarella, onion and oregano.","8,9,2",si
70,Empanadas,Empanadas,,,Proteínas,Proteins,10,Atún,Tuna,"3,90 € cada una","Atún, cebolla y huevo.","Tuna, onion and egg.","8,4,1,9,2",si
70,Empanadas,Empanadas,,,Proteínas,Proteins,20,BBQ Ribs,BBQ Ribs,"3,90 € cada una","Pulled pork, cebolla, pimiento y salsa barbacoa.","Pulled pork, onion, pepper and barbecue sauce.","3,9,2",si
70,Empanadas,Empanadas,,,Proteínas,Proteins,30,Pollo,Chicken,"3,90 € cada una","Pechuga de pollo, cebolla y pimientos rojos.","Chicken breast, onion and red peppers.","8,9,2",si
70,Empanadas,Empanadas,,,Proteínas,Proteins,40,Roast Beef a Cuchillo,Hand-cut Beef,"3,90 € cada una","Black Angus, cebolla y pimientos rojos.","Black Angus beef, onion and red peppers.","8,9,2",si
70,Empanadas,Empanadas,,,Proteínas,Proteins,50,Carne Picante,Spicy Beef,"3,90 € cada una","Ternera, cebolla, pimientos rojos y cayena.","Beef, onion, red peppers and cayenne pepper.","8,9,2",si
70,Empanadas,Empanadas,,,Proteínas,Proteins,60,Roast Beef & Provolone,Roast Beef & Provolone,"3,90 € cada una","Roast beef, queso provolone y cebolla.","Roast beef, provolone cheese and onion.","8,1,9,2",si
70,Empanadas,Empanadas,,,Proteínas,Proteins,70,Pollo Picante,Spicy Chicken,"3,90 € cada una","Pechuga de pollo, cebolla, pimientos rojos y cayena.","Chicken breast, onion, red peppers and cayenne pepper.","8,9,2",si
80,Dulces,Sweets,,,Tartas,Cakes,10,Tarta húmeda de chocolate,Moist Chocolate Cake,"5,50 €","Con café, rellena de dulce de leche.","With coffee, filled with dulce de leche.","1,8,9",si
80,Dulces,Sweets,,,Tartas,Cakes,20,Tarta de limón con merengue italiano,Lemon Tart with Italian Meringue,"4,90 €",,,"1,8,9,10",si
80,Dulces,Sweets,,,Tartas,Cakes,30,Sablé de manzana,Apple Sablé,"4,90 €",,,"1,9,10",si
80,Dulces,Sweets,,,Tartas,Cakes,40,Brownie,Brownie,"3,60 €",,,"1,8,9",si
80,Dulces,Sweets,,,Tartas,Cakes,50,Carrot cake,Carrot Cake,"4,50 €",,,"1,8,9,10",si
80,Dulces,Sweets,,,Tartas,Cakes,60,Banana bread,Banana Bread,"3,50 €",,,"1,8,9,10",si
80,Dulces,Sweets,,,Tartas,Cakes,70,Bizcocho de limón,Lemon Sponge Cake,"3,50 €",,,"1,8,9",si
80,Dulces,Sweets,,,Tartas,Cakes,80,Bizcocho de arándanos y yogur,Blueberry & Yogurt Cake,"3,50 €",,,"1,8,9",si
80,Dulces,Sweets,,,Tartas,Cakes,90,Chocolate belga 70% y trigo sarraceno,70% Belgian Chocolate & Buckwheat,"4,80 €",,,,si
80,Dulces,Sweets,,,Tartas,Cakes,100,Red velvet y chocolate blanco belga,Red Velvet & Belgian White Chocolate,"3,50 €",,,"1,8,9",si
80,Dulces,Sweets,,,Tartas,Cakes,110,Avena (sin gluten),Oat Cookies (gluten-free),"3,50 €",Chocolate y mantequilla de cacahuete.,Chocolate and peanut butter.,"10,12",si
80,Dulces,Sweets,,,Tartas,Cakes,120,Chispas de chocolate,Chocolate Chip,"3,40 €",,,"1,8,9",si
80,Dulces,Sweets,,,Tartas,Cakes,130,Oreo,Oreo,"3,80 €",,,"1,8,9",si
80,Dulces,Sweets,,,Tartas,Cakes,140,Pistacho,Pistachio,"4,80 €",,,"1,8,9,10",si
80,Dulces,Sweets,,,Tartas,Cakes,150,Matcha,Matcha,"3,80 €",,,"1,8,9",si
80,Dulces,Sweets,,,Alfajores,Alfajores,10,De maicena,Cornstarch,"3,50 €","Harina de maíz, coco y dulce de leche.","Corn flour, coconut and dulce de leche.","1,8",si
80,Dulces,Sweets,,,Alfajores,Alfajores,20,Almendra,Almond,"3,70 €","Galleta de almendra, almendras y dulce de leche.","Almond flour cookies, almonds and dulce de leche.","1,8,9,10",si
80,Dulces,Sweets,,,Alfajores,Alfajores,30,Pistacho y DDL,Pistachio & Dulce de Leche,"3,80 €",Galleta de vainilla y pistacho rellena de dulce de leche.,Vanilla and pistachio cookies filled with dulce de leche.,"1,8,9,10",si
80,Dulces,Sweets,,,Alfajores,Alfajores,40,Chocolate blanco,White Chocolate,"3,80 €",Galleta de vainilla rellena de dulce de leche y bañada en chocolate blanco.,"Vanilla cookies filled with dulce de leche, coated in white chocolate.","1,8,9",si
80,Dulces,Sweets,,,Alfajores,Alfajores,50,Chocolate negro,Dark Chocolate,"3,80 €","Igual, bañada en chocolate negro.","Same, coated in dark chocolate.","1,8,9",si
80,Dulces,Sweets,,,Alfajores,Alfajores,60,Rollo de canela casero,Homemade Cinnamon Roll,"3,90 €",,,"1,8,9",si
80,Dulces,Sweets,,,Alfajores,Alfajores,70,Rollo de cardamomo,Cardamom Roll,"3,90 €",,,"1,8,9",si
80,Dulces,Sweets,,,Alfajores,Alfajores,80,Pastafrola,Pastafrola,"4,50 €",,,"1,8,9",si
80,Dulces,Sweets,,,Alfajores,Alfajores,90,Medialunas argentinas,Argentinian Medialunas,"2,80 €",,,"1,8,9",si
90,Café,Coffee,"Espresso preparado con dosis de 18 g. Hazlo frío +0,50 € · leche vegetal +0,30 € · siropes +1,00 €.",Espresso brewed with an 18g dose. Iced +0.50 € · plant-based milk +0.30 € · syrups +1.00 €.,Espressos,Espressos,10,Espresso,Espresso,"2,20 €",,,,si
90,Café,Coffee,"Espresso preparado con dosis de 18 g. Hazlo frío +0,50 € · leche vegetal +0,30 € · siropes +1,00 €.",Espresso brewed with an 18g dose. Iced +0.50 € · plant-based milk +0.30 € · syrups +1.00 €.,Espressos,Espressos,20,Americano,Americano,"2,50 / 3,20 €",,,,si
90,Café,Coffee,"Espresso preparado con dosis de 18 g. Hazlo frío +0,50 € · leche vegetal +0,30 € · siropes +1,00 €.",Espresso brewed with an 18g dose. Iced +0.50 € · plant-based milk +0.30 € · syrups +1.00 €.,Espressos,Espressos,30,Latte Macchiato XL,Latte Macchiato XL,"3,40 €",,,,si
90,Café,Coffee,"Espresso preparado con dosis de 18 g. Hazlo frío +0,50 € · leche vegetal +0,30 € · siropes +1,00 €.",Espresso brewed with an 18g dose. Iced +0.50 € · plant-based milk +0.30 € · syrups +1.00 €.,Espressos,Espressos,40,Cortado,Cortado,"2,40 €",,,,si
90,Café,Coffee,"Espresso preparado con dosis de 18 g. Hazlo frío +0,50 € · leche vegetal +0,30 € · siropes +1,00 €.",Espresso brewed with an 18g dose. Iced +0.50 € · plant-based milk +0.30 € · syrups +1.00 €.,Espressos,Espressos,50,Flat White,Flat White,"2,60 €",,,,si
90,Café,Coffee,"Espresso preparado con dosis de 18 g. Hazlo frío +0,50 € · leche vegetal +0,30 € · siropes +1,00 €.",Espresso brewed with an 18g dose. Iced +0.50 € · plant-based milk +0.30 € · syrups +1.00 €.,Espressos,Espressos,60,Café con leche,Coffee with Milk,"2,80 / 3,40 €",,,,si
90,Café,Coffee,"Espresso preparado con dosis de 18 g. Hazlo frío +0,50 € · leche vegetal +0,30 € · siropes +1,00 €.",Espresso brewed with an 18g dose. Iced +0.50 € · plant-based milk +0.30 € · syrups +1.00 €.,Espressos,Espressos,70,Capuccino,Capuccino,"2,80 / 3,40 €",,,,si
90,Café,Coffee,"Espresso preparado con dosis de 18 g. Hazlo frío +0,50 € · leche vegetal +0,30 € · siropes +1,00 €.",Espresso brewed with an 18g dose. Iced +0.50 € · plant-based milk +0.30 € · syrups +1.00 €.,Espressos,Espressos,80,Vainilla o Caramel Latte,Vanilla or Caramel Latte,"3,20 / 3,90 €",,,,si
90,Café,Coffee,"Espresso preparado con dosis de 18 g. Hazlo frío +0,50 € · leche vegetal +0,30 € · siropes +1,00 €.",Espresso brewed with an 18g dose. Iced +0.50 € · plant-based milk +0.30 € · syrups +1.00 €.,Espressos,Espressos,90,Batch Brew,Batch Brew,"2,50 / 3,20 €",,,,si
90,Café,Coffee,"Espresso preparado con dosis de 18 g. Hazlo frío +0,50 € · leche vegetal +0,30 € · siropes +1,00 €.",Espresso brewed with an 18g dose. Iced +0.50 € · plant-based milk +0.30 € · syrups +1.00 €.,Espressos,Espressos,100,V60,V60,"3,90 €",,,,si
90,Café,Coffee,"Espresso preparado con dosis de 18 g. Hazlo frío +0,50 € · leche vegetal +0,30 € · siropes +1,00 €.",Espresso brewed with an 18g dose. Iced +0.50 € · plant-based milk +0.30 € · syrups +1.00 €.,Espressos,Espressos,110,Aeropress,Aeropress,"3,90 €",,,,si
90,Café,Coffee,"Espresso preparado con dosis de 18 g. Hazlo frío +0,50 € · leche vegetal +0,30 € · siropes +1,00 €.",Espresso brewed with an 18g dose. Iced +0.50 € · plant-based milk +0.30 € · syrups +1.00 €.,Espressos especiales,Special Espressos,10,Espresso Orange,Espresso Orange,"3,90 €",,,,si
90,Café,Coffee,"Espresso preparado con dosis de 18 g. Hazlo frío +0,50 € · leche vegetal +0,30 € · siropes +1,00 €.",Espresso brewed with an 18g dose. Iced +0.50 € · plant-based milk +0.30 € · syrups +1.00 €.,Espressos especiales,Special Espressos,20,Espresso Tonic,Espresso Tonic,"3,90 €",,,,si
90,Café,Coffee,"Espresso preparado con dosis de 18 g. Hazlo frío +0,50 € · leche vegetal +0,30 € · siropes +1,00 €.",Espresso brewed with an 18g dose. Iced +0.50 € · plant-based milk +0.30 € · syrups +1.00 €.,Espressos especiales,Special Espressos,30,Cold Brew,Cold Brew,"3,90 €",,,,si
90,Café,Coffee,"Espresso preparado con dosis de 18 g. Hazlo frío +0,50 € · leche vegetal +0,30 € · siropes +1,00 €.",Espresso brewed with an 18g dose. Iced +0.50 € · plant-based milk +0.30 € · syrups +1.00 €.,Espressos especiales,Special Espressos,40,Shakerato,Shakerato,"3,50 €",,,,si
90,Café,Coffee,"Espresso preparado con dosis de 18 g. Hazlo frío +0,50 € · leche vegetal +0,30 € · siropes +1,00 €.",Espresso brewed with an 18g dose. Iced +0.50 € · plant-based milk +0.30 € · syrups +1.00 €.,Espressos especiales,Special Espressos,50,Mochaccino,Mochaccino,"3,90 €",,,,si
90,Café,Coffee,"Espresso preparado con dosis de 18 g. Hazlo frío +0,50 € · leche vegetal +0,30 € · siropes +1,00 €.",Espresso brewed with an 18g dose. Iced +0.50 € · plant-based milk +0.30 € · syrups +1.00 €.,Espressos especiales,Special Espressos,60,Dirty Chai Latte,Dirty Chai Latte,"4,20 €",,,,si
90,Café,Coffee,"Espresso preparado con dosis de 18 g. Hazlo frío +0,50 € · leche vegetal +0,30 € · siropes +1,00 €.",Espresso brewed with an 18g dose. Iced +0.50 € · plant-based milk +0.30 € · syrups +1.00 €.,Espressos especiales,Special Espressos,70,Affogato,Affogato,"3,90 €",,,,si
90,Café,Coffee,"Espresso preparado con dosis de 18 g. Hazlo frío +0,50 € · leche vegetal +0,30 € · siropes +1,00 €.",Espresso brewed with an 18g dose. Iced +0.50 € · plant-based milk +0.30 € · syrups +1.00 €.,Espressos especiales,Special Espressos,80,Espresso Limonada,Espresso Limonade,"3,90 €",,,,si
90,Café,Coffee,"Espresso preparado con dosis de 18 g. Hazlo frío +0,50 € · leche vegetal +0,30 € · siropes +1,00 €.",Espresso brewed with an 18g dose. Iced +0.50 € · plant-based milk +0.30 € · syrups +1.00 €.,Espressos especiales,Special Espressos,90,Frappuccino,Frappuccino,"4,50 €",,,,si
90,Café,Coffee,"Espresso preparado con dosis de 18 g. Hazlo frío +0,50 € · leche vegetal +0,30 € · siropes +1,00 €.",Espresso brewed with an 18g dose. Iced +0.50 € · plant-based milk +0.30 € · syrups +1.00 €.,Espressos especiales,Special Espressos,100,Red Velvet Latte,Red Velvet Latte,"2,80 / 3,60 €",,,,si
90,Café,Coffee,"Espresso preparado con dosis de 18 g. Hazlo frío +0,50 € · leche vegetal +0,30 € · siropes +1,00 €.",Espresso brewed with an 18g dose. Iced +0.50 € · plant-based milk +0.30 € · syrups +1.00 €.,Espressos especiales,Special Espressos,110,Chocolate caliente 45% / 70%,Hot Chocolate 45% / 70%,"2,80 / 3,20 / 3,90 €",,,,si
90,Café,Coffee,"Espresso preparado con dosis de 18 g. Hazlo frío +0,50 € · leche vegetal +0,30 € · siropes +1,00 €.",Espresso brewed with an 18g dose. Iced +0.50 € · plant-based milk +0.30 € · syrups +1.00 €.,Espressos especiales,Special Espressos,120,"Cúrcuma Latte (jengibre, vainilla)","Turmeric Latte (ginger, vanilla)","2,80 / 3,60 €",,,,si
90,Café,Coffee,"Espresso preparado con dosis de 18 g. Hazlo frío +0,50 € · leche vegetal +0,30 € · siropes +1,00 €.",Espresso brewed with an 18g dose. Iced +0.50 € · plant-based milk +0.30 € · syrups +1.00 €.,Espressos especiales,Special Espressos,130,Açaí Latte,Açaí Latte,"3,50 / 4,10 €",,,,si
90,Café,Coffee,"Espresso preparado con dosis de 18 g. Hazlo frío +0,50 € · leche vegetal +0,30 € · siropes +1,00 €.",Espresso brewed with an 18g dose. Iced +0.50 € · plant-based milk +0.30 € · syrups +1.00 €.,Espressos especiales,Special Espressos,140,Mate Latte,Mate Latte,"3,50 / 4,10 €",,,,si
90,Café,Coffee,"Espresso preparado con dosis de 18 g. Hazlo frío +0,50 € · leche vegetal +0,30 € · siropes +1,00 €.",Espresso brewed with an 18g dose. Iced +0.50 € · plant-based milk +0.30 € · syrups +1.00 €.,Espressos especiales,Special Espressos,150,Spirulina,Spirulina,"3,50 / 4,10 €",,,,si
